OL,MOF_name,%MGS
C\1(=C\2/C=C/C(=C(/C3=N/C(=C(\C4=CC=C(/C(=C\5/C=CC1=N5)/c1cc(C(=O)[O])cc(c1)C(=O)[O])[N]4)/c1cc(cc(c1)C(=O)[O])C(=O)[O])/C=C3)\c1cc(cc(c1)C(=O)[O])C(=O)[O])/[N]2)/c1cc(cc(c1)C(=O)[O])C(=O)[O],MEFZUU,244.58577
c1c2c(cc(C(=O)[O])c1C(=O)[O])[N]C=N2,QUJFUX,4.7349796
c1c2c(cc(C(=O)[O])cc2)ccc1C(=O)[O],MATVAF,19.675116
c1(c2ccc(C(=O)[O])cc2)cc(cc(c2ccc(C(=O)[O])cc2)c1)c1ccc(C(=O)[O])cc1,FAZPON,79.04499
c1(c2ccc(C(=O)[O])cc2)cc(cc(c2ccc(C(=O)[O])cc2)c1)C(=O)[O],NAHNES,37.111515
c1c2c(C(=O)[O])cccc2ncc1,ARAKAH,40.963833
c1(c2c(n(CCC(=O)[O])cn2)ncn1)N,QUBZAP,23.649384
C1=C2C(=NN=N2)C=C[C]1C(=O)[O],RIDDUE,72.25654
C1=C2N=NN=C2C=C([CH]1)C(=O)[O],ESUVAR02,64.75016
c1(C2=NN=N[N]2)ccc(cc1)C(=O)[O],DUTJUZ,48.949116
c1(C2=NN=N[N]2)cc(cc(C(=O)[O])c1)C(=O)[O],OMITUB,19.283247
c1cc2-c3ccc(cc3S(=O)(=O)c2cc1C(=O)[O])C(=O)[O],YURKEC,50.226135
c1c(c2ccc3cc(C(=O)[O])cnc3c2)ccc(C(=O)[O])c1,EJIQIZ,54.74174
c1c(c2ccccc2c(C(=O)[O])c1)C(=O)[O],WITFIQ,20.604898
c1(cc2c(cc(cc2)C(=O)[O])cc1)C(=O)[O],KARLIA,19.37116
c1c(c2ccc(cc2)C(=O)[O])cc(c2ccc(cc2)C(=O)[O])cc1c1ccc(cc1)C(=O)[O],TISHAF,78.79342
c1c(c2ccc(cc2)C(=O)[O])cc(c2ccc(C(=O)[O])cc2)cc1c1ccc(cc1)C(=O)[O],DUFKAS,79.045
c1c(c2ccc(cc2)C(=O)[O])c(cc(c2ccc(cc2)C(=O)[O])c1c1ccc(C(=O)[O])cc1)c1ccc(cc1)C(=O)[O],GOSDEZ,82.160706
c1c(c2c(ccc(c2)C(=O)[O])C(=O)[O])ccc(c1)C(=O)[O],FONPUV,21.106577
c1(Cc2cc(cc(c2)C(=O)[O])C(=O)[O])cc(cc(c1)C(=O)[O])C(=O)[O],HOGLEV01,35.38178
c1(c(c2cc(cc(c2)C(=O)[O])C(=O)[O])ccc(C(=O)[O])c1)C(=O)[O],LOFVIN,27.913221
c1c(c2cccc(c3cc(cc(C(=O)[O])c3)C(=O)[O])c2N)cc(cc1C(=O)[O])C(=O)[O],GAFROX,38.581573
c1c(c2cc(cc(C(=O)[O])c2)C(=O)[O])ccnc1,XOMCOT,20.170347
c1c(c2ccc(cn2)C(=O)[O])ncc(C(=O)[O])c1,NIFYUY,21.906778
c1(cc2c(cc(C(=O)[O])cc2)cc1)C(=O)[O],MIMSUY,19.37116
c1c(c2ccc(C(=O)[O])cc2)cc(c2ccc(cc2)C(=O)[O])cc1c1ccc(C(=O)[O])cc1,IQECIS,79.04497
c1c(c2ccc(C(=O)[O])cc2)cc(cc1c1ccc(C(=O)[O])cc1)c1ccc(C(=O)[O])cc1,BAZFUF01,78.79338
c1c(c2ccc(C(=O)[O])cc2)ccc(C(=O)[O])c1,TOWNEA,21.948597
c1c(c2ccc(C(=O)[O])cc2)cc(C(=O)[O])cc1C(=O)[O],YEKXIX,21.135609
c1c(c2c(cc(C(=O)[O])c(c3ccc(C(=O)[O])cc3)c2)C(=O)[O])ccc(c1)C(=O)[O],KUTNOE,43.11668
c1c(c2ccc(N(c3ccc(cc3)c3ccc(cc3)C(=O)[O])c3ccc(cc3)c3ccc(cc3)C(=O)[O])cc2)ccc(C(=O)[O])c1,HUQJAG,148.05072
c1c(c2cc(C(=O)[O])c(cc2c2ccc(cc2)C(=O)[O])C(=O)[O])ccc(C(=O)[O])c1,YOBYAR,51.437542
c1c(c2ccncc2)cc(c2ccc(cc2)C(=O)[O])nc1c1ccc(C(=O)[O])cc1,LORRUH,55.855648
c1c(c2cc(nc(c3ccc(cc3)C(=O)[O])c2)c2ccc(cc2)C(=O)[O])ccnc1,EWOVET,55.551716
c1cc2c(c(O)c(C(=O)[O])cc2cc1)Cc1c(c(cc2c1cccc2)C(=O)[O])O,ROYROO,36.86897
c1cc2c(C(=O)[O])c3c(cccc3)c(C(=O)[O])c2cc1,YAQDIF,23.527418
c1c(c2c(C(=O)[O])cc(c(c3ccc(C(=O)[O])cc3)c2)C(=O)[O])ccc(C(=O)[O])c1,KUTNEU,42.504887
c1c(c2cncc(c2)c2ccc(C(=O)[O])cc2)ccc(C(=O)[O])c1,QAMKOH,42.823486
c1c(c2cncnc2)ccc(C(=O)[O])c1,cg501730q,28.22497
c1c(c2c(OC(=S)N(C)C)cc(cc2)C(=O)[O])ccc(C(=O)[O])c1,EYOJOT,28.713743
c1c(c2nc(c3ccc(cc3)C(=O)[O])cc(c3ccncc3)c2)ccc(c1)C(=O)[O],LORRUH,55.551716
c1(cc2=N[N]N=c2cc1)C(=O)[O],ESURER01,39.663773
c1cc2=N[N]N=c2cc1C(=O)[O],ESUVAR01,39.66379
c1(cc(c2c3cc(c(cc3c(c3cc(C(=O)[O])cc(C(=O)[O])c3)c3c2cc(OC)c(OC)c3)OC)OC)cc(c1)C(=O)[O])C(=O)[O],LITCOI,88.129486
c1(ccc2-c3ccc(cc3C(=O)c2c1)C(=O)[O])C(=O)[O],HACNIL,28.61751
c1cc(/C/2=C\3/N=C(/C(=C/4\[N]/C(=C(\C5=N/C(=C(\C6=CC=C2[N]6)/c2ccc(c6cc(cc(c6)C(=O)[O])C(=O)[O])cc2)/C=C5)/c2ccc(c5cc(cc(c5)C(=O)[O])C(=O)[O])cc2)/C=C4)/c2ccc(c4cc(cc(c4)C(=O)[O])C(=O)[O])cc2)C=C3)ccc1c1cc(cc(c1)C(=O)[O])C(=O)[O],BIPSUQ,496.92526
c1c(cc2c(c1)cc(cc2)C(=O)[O])C(=O)[O],ic502643m,19.371162
c1cc(c2c(c3ccc(C(=O)[O])cc3)ccc(C(=O)[O])c2)ccc1C(=O)[O],XOGXAU,45.11676
c1cc(c2c(c(c3ccc(C(=O)[O])cc3)c(C)c(c2C)c2ccc(cc2)C(=O)[O])C)ccc1C(=O)[O],PIWSEV,83.9327
c1(ccc2cc(ccc2c1)C(=O)[O])c1cc(cc(c1)C(=O)[O])C(=O)[O],OKOSUE,40.73351
c1(ccc2c(ccc(c2)c2c(c(c3cc4c(cc3)cc(C(=O)[O])cc4)c(c(c3ccc4c(c3)ccc(C(=O)[O])c4)c2C)C)C)c1)C(=O)[O],jacs.6b01663,149.06151
c1(cc(c2cc(cc(c2)c2ccc(cc2)C(=O)[O])c2ccc(cc2)C(=O)[O])cc(c2ccc(cc2)C(=O)[O])c1)c1ccc(cc1)C(=O)[O],ATEYOP,139.51732
c1(cc(c2ccc(cc2)C(=O)[O])cc(C(=O)[O])c1)C(=O)[O],EBAVUB,20.872387
c1c(c(c2c(cc(cc2C(=O)[O])C(=O)[O])N(=O)=O)c(C(=O)[O])cc1C(=O)[O])N(=O)=O,UKEXEP,39.23152
c1(cc(c2cc(ccn2)C(=O)[O])ncc1)C(=O)[O],EDOVEA,27.805754
c1c(cc2c(cc(C(=O)[O])cc2)c1)c1cc(c2ccc3cc(C(=O)[O])ccc3c2)cc(c1)c1ccc2cc(C(=O)[O])ccc2c1,BINROH,130.26251
c1cc(c2ccc(C(=O)[O])cc2)ccc1N(c1ccc(c2ccc(cc2)C(=O)[O])cc1)c1ccc(c2ccc(C(=O)[O])cc2)cc1,ic5b01023,148.05116
c1(cc(c2ccc(C(=O)[O])cc2)cc(c2ccc(cc2)C(=O)[O])c1)c1ccc(C(=O)[O])cc1,QOWRAV02,78.79343
c1c(c(c2ccc(C(=O)[O])cc2)cc(C)c1c1ccc(cc1)C(=O)[O])C,ZUJKAS,38.785988
c1cc(c2ccc(C(=O)[O])cc2)ccn1,JIZJIN,32.75926
C1(=C(Cc2ccc(C(=O)[O])cc2)C(=N[N]1)C)C,EROJUS,18.331854
c1(cc(c2cc(C(=O)[O])cc(c2)C(=O)[O])cc(C(=O)[O])c1)C(=O)[O],JUXSIG,32.694424
c1cc(c2cc(C(=O)[O])cnc2)cc(C(=O)[O])c1,DEYVUA,26.864489
c1cc(c2ccncc2)ccc1C(=O)[O],DIDBOJ,32.759243
c1ccc2c(C(=O)[O])c3c(c(c2c1)C(=O)[O])cccc3,GIZXET,23.527416
c1cc(c2cncc(c2)c2ccc(C(=O)[O])cc2)ccc1C(=O)[O],OVEDEA,42.848095
c1c(cc2n(c3ccc(C(=O)[O])cc3)c3c(c2c1)ccc(c3)c1ccc(cc1)C(=O)[O])c1ccc(C(=O)[O])cc1,VANHEA,64.548325
c1c(cc2S(=O)(=O)c3cc(C(=O)[O])ccc3-c2c1)C(=O)[O],TOWNOK,50.568558
c1cc(cc2c1cc(cc2)C(=O)[O])C(=O)[O],MIMSOS,19.100782
c1cccc2c1n(c1ccccc21)CCC(=O)[O],XUHXOP,37.201977
c1c(ccc2-c3c(C(CC)(CC)c12)c1-c2ccc(cc2C(c1c1-c2c(cc(cc2)C(=O)[O])C(CC)(CC)c31)(CC)CC)C(=O)[O])C(=O)[O],ja808995d,105.3181
c1c(ccc2-c3ccc(C(=O)[O])cc3S(=O)(=O)c12)C(=O)[O],YOZQAG,50.418236
c1(ccc(c2c(c3ccc(cc3)C(=O)[O])cc(c(c2)C(=O)[O])C(=O)[O])cc1)C(=O)[O],YOBYAR,51.437946
c1(ccc(c2ccccc12)C(=O)[O])C(=O)[O],SARMEE,20.657358
c1(ccc(c2cc(cc(c2)c2ccc(cc2)C(=O)[O])c2ccc(cc2)C(=O)[O])cc1)C(=O)[O],DUFKAS,78.793335
c1(ccc(c2cc(cc(c2)c2ccc(C(=O)[O])cc2)c2ccc(C(=O)[O])cc2)cc1)C(=O)[O],HASSUR,79.04497
c1c(C)c(c2c(cc(cc2C)C(=O)[O])C)c(C)cc1C(=O)[O],EWALUK,21.4887
c1c(cc(c2ccc(cc2)C(=O)[O])cc1c1ccc(cc1)C(=O)[O])c1ccc(cc1)C(=O)[O],UNIDAY,78.79341
c1(ccc(c2ccc(cc2)C(=O)[O])cc1)C(=O)[O],HURGOR,21.931717
c1(ccc(c2cc(cc(c3ccc(cc3)C(=O)[O])c2)c2ccc(cc2)C(=O)[O])cc1)C(=O)[O],DAGJAZ,78.79345
c1c(C#Cc2cc(C#Cc3ccc(cc3)C(=O)[O])cc(C#Cc3ccc(cc3)C(=O)[O])c2)ccc(C(=O)[O])c1,QIYDEJ,130.9484
c1c(C#Cc2cc(C#Cc3ccc(C(=O)[O])cc3)cc(c2)C#Cc2ccc(C(=O)[O])cc2)ccc(C(=O)[O])c1,KULLAG,130.9393
c1c(cc(c2c(c(C)c(c(C)c2C)c2cc(C(=O)[O])cc(C(=O)[O])c2)C)cc1C(=O)[O])C(=O)[O],NASREH,39.52573
c1cc(cc2ccc(C(=O)[O])cc12)C(=O)[O],AMILOY,19.675108
c1(ccc(c2ccc(nc2)C(=O)[O])cc1)C(=O)[O],WUCWIC,25.919954
c1cccc2cc(C(=O)[O])c(O)c(Cc3c(O)c(C(=O)[O])cc4ccccc34)c12,ROYRII,40.292053
c1cccc2c(C(=O)[O])c3ccccc3c(C(=O)[O])c12,YARGIJ,23.527418
c1c(cc(C2=N[C](C(=O)[O])C(=N2)C(=O)[O])cc1)O,EXUHUC,8.193543
c1cccc2=N[N]C(=c12)C(=O)[O],QOFKUT,38.74567
c1cc(cc2=N[N]N=c12)C(=O)[O],ESUSOC01,38.975773
C1=CC(=C[C]2N=NN=C12)C(=O)[O],ESUSAO01,64.96749
c1(ccc(C2=N[N][N][N]2)cc1)C(=O)[O],OYIVEY,79.3297
c1(ccc(C2=NN=N[N]2)cc1)C(=O)[O],WENDIE,48.949078
c1(C)c(C)c(B(c2c(C)c(C)c(c(c2C)C)C(=O)[O])c2c(c(C)cc(c2C)C)C)c(c(c1C(=O)[O])C)C,ic501801f,56.393364
c1(cc(cc(c1)c1cc2ccc(cc2cc1)C(=O)[O])C(=O)[O])C(=O)[O],OKOSUE,40.834213
c1cc(ccc1c1c(c2ccc(C(=O)[O])cc2)cc(c(c2ccc(C(=O)[O])cc2)c1)c1ccc(cc1)C(=O)[O])C(=O)[O],ESEDAJ,82.927055
c1(ccc(cc1)c1cc(c2ccc(cc2)C(=O)[O])cc(c2ccc(cc2)C(=O)[O])c1)C(=O)[O],OTECEX,78.793335
c1c(ccc(c1)c1cc(c2ccc(cc2)C(=O)[O])cc(c2ccc(cc2)C(=O)[O])c1)C(=O)[O],OTEDOI,78.79344
c1cc(ccc1c1cc(c2ccc(cc2)C(=O)[O])c(OCCCCCC)c(c2ccc(cc2)C(=O)[O])c1)C(=O)[O],TOVJOF,89.792984
c1c(cc(cc1c1ccc(cc1)C#Cc1cc(C(=O)[O])cc(C(=O)[O])c1)c1ccc(cc1)C#Cc1cc(C(=O)[O])cc(C(=O)[O])c1)c1ccc(cc1)C#Cc1cc(C(=O)[O])cc(C(=O)[O])c1,HABRAF,365.8563
c1(ccc(cc1)c1ccc(cc1)C(=O)[O])C(=O)[O],AXOHIE,21.93171
c1cc(ccc1c1ccc(cc1)C(=O)[O])C(=O)[O],GIQHAQ,21.948599
c1c(ccc(c1)c1ccc(cc1)N(c1ccc(C(=O)[O])cc1)c1ccc(C(=O)[O])cc1)N(c1ccc(C(=O)[O])cc1)c1ccc(cc1)C(=O)[O],VACLAP,108.48204
c1(cc(cc(c1c1c(cc(cc1N(=O)=O)C(=O)[O])C(=O)[O])C(=O)[O])C(=O)[O])N(=O)=O,OCUMIL,38.90778
c1cc(ccc1c1ccc(CN(CC(=O)[O])CC(=O)[O])cc1)CN(CC(=O)[O])CC(=O)[O],LIRNEH,35.755672
c1(cc(cc(c1)c1ccc(C(=O)[O])cc1)c1ccc(cc1)C(=O)[O])c1ccc(C(=O)[O])cc1,WAVROC,78.79334
c1(ccc(cc1)c1ccc(C(=O)[O])cc1)C(=O)[O],CUSYAR,21.931686
c1cc(ccc1c1ccc(C(=O)[O])cc1)C(=O)[O],c6ce00407e,21.93168
c1cc(ccc1c1ccc(n2c3ccc(C(=O)[O])cc3c3cc(C(=O)[O])ccc23)cc1)n1c2ccc(cc2c2cc(C(=O)[O])ccc12)C(=O)[O],OKUSUK,90.491714
c1cc(ccc1c1ccc(N(c2ccc(C(=O)[O])cc2)c2ccc(C(=O)[O])cc2)cc1)N(c1ccc(C(=O)[O])cc1)c1ccc(C(=O)[O])cc1,ZUYHIM,108.01712
c1cc(ccc1c1ccncc1)C(=O)[O],JIZJUZ,32.75924
c1c(ccc(c1)c1c(C)nn(Cn2c(c(c3ccc(C(=O)[O])cc3)c(n2)C)C)c1C)C(=O)[O],COQJAV,45.93608
c1(cc(cc(c1)c1cncc(c1)c1cc(cc(c1)C(=O)[O])C(=O)[O])C(=O)[O])C(=O)[O],cg400449c,36.988903
c1c(ccc(c1)C#Cc1cc(C#Cc2ccc(C(=O)[O])cc2)cc(c1)C#Cc1ccc(C(=O)[O])cc1)C(=O)[O],KULLAG,130.93842
c1(ccc(cc1)C#Cc1ccc(C(=O)[O])cc1)C#Cc1ccc(C(=O)[O])cc1,WUPTUY,54.684513
c1c(cc(cc1C#Cc1cc(C(=O)[O])cc(c1)C(=O)[O])C#Cc1cc(C(=O)[O])cc(C(=O)[O])c1)C#Cc1cc(cc(C(=O)[O])c1)C(=O)[O],MUDTEL,178.9308
c1c(ccc(c1)C#Cc1cc(C(=O)[O])cc(C(=O)[O])c1)C(=O)[O],OGEBAF01,26.200607
c1(ccccc1)/C=C/C(=O)[O],LABZUM,42.481716
c1cc(ccc1C(C(F)(F)F)(C(F)(F)F)c1ccc(C(=O)[O])cc1)C(=O)[O],DUKNOO,33.063072
c1(ccc(cc1)CC(=O)[O])CC(=O)[O],TUTZOX,50.796455
c1ccccc1[C@H](C(=O)[O])O,TURDIV,17.38471
c1(ccccc1)[C@@H]([N]C(=O)C(=O)[O])C(=O)[O],QAQNOO,16.434086
c1(ccccc1)[C@H](O)C(=O)[O],TURDUH,17.384483
c1ccccc1[C@H](O)C(=O)[O],TURFET,17.384243
c1cc(ccc1C(=O)c1ccc(C(=O)[O])cc1)C(=O)[O],ZESZEE,13.744669
c1(cc(cc(c1)C(=O)Nc1ccc(cc1)C(=O)[O])C(=O)Nc1ccc(C(=O)[O])cc1)C(=O)Nc1ccc(C(=O)[O])cc1,FAJYAS,131.92307
c1c(cccc1C(=O)Nc1cc(cc(C(=O)[O])c1)n1c(nnc1C)C)C,VOKMAL,30.990366
c1(ccccc1)C(=O)[O],OTAVOV,40.949253
c1ccc(cc1)C(=O)[O],LACJIL,40.949226
c1cc(ccc1C(=O)[O])c1cc(c2cc(c3ccc(C(=O)[O])cc3)cc(c3ccc(C(=O)[O])cc3)c2)cc(c1)c1ccc(C(=O)[O])cc1,EMIYUW,139.5249
c1c(c(ccc1C(=O)[O])c1cc(c2ccc(cc2N)C(=O)[O])cc(c2ccc(cc2N)C(=O)[O])c1)N,SUGDIJ,90.67519
c1(ccc(cc1)C(=O)[O])c1cc(c2ccc(C(=O)[O])cc2)cc(c1)c1ccc(cc1)C(=O)[O],EBAWOW,79.0451
c1c(ccc(c1)C(=O)[O])c1cc(c2ccc(C(=O)[O])cc2)cc(c2ccc(cc2)C(=O)[O])c1,OTEFIE,78.79343
c1cc(ccc1C(=O)[O])c1cc(c2ccc(C(=O)[O])cc2)cc(c2ccc(C(=O)[O])cc2)c1,DIBQEM,78.79334
c1cc(ccc1C(=O)[O])c1cc(cc(c1)c1ccc(cc1)C(=O)[O])c1ccc(C(=O)[O])cc1,OTEBEW,78.79341
c1cc(ccc1C(=O)[O])c1cc(cc(c1)c1ccc(cc1)C(=O)[O])C(=O)[O],UMIZEX,37.35912
c1cc(ccc1C(=O)[O])c1cc(cc(c1)c1ccc(C(=O)[O])cc1)c1ccc(C(=O)[O])cc1,EBEVAK,78.79343
c1cc(ccc1C(=O)[O])c1ccc(cc1)C(=O)[O],KARMAT,21.9486
c1cccc(c1C(=O)[O])c1c(cccc1)C(=O)[O],ILAGUY,20.00018
c1(cc(cc(c1)C(=O)[O])c1cc(ccc1)C(=O)[O])C(=O)[O],QEWDON,22.075298
c1cc(ccc1C(=O)[O])c1cc(cc(c1)C(=O)[O])C(=O)[O],UQENAH,21.396692
c1c(c(c(cc1)C(=O)[O])c1c(cccc1C(=O)[O])C(=O)[O])C(=O)[O],QATXIU,33.472343
c1(ccc(cc1)C(=O)[O])c1ccc(C(=O)[O])cc1,GALHUY,21.948586
c1cc(ccc1C(=O)[O])c1ccc(C(=O)[O])cc1,acs.inorgchem.6b02413,21.931675
c1cc(ccc1C(=O)[O])c1cc(C(=O)[O])c(cc1c1ccc(cc1)C(=O)[O])C(=O)[O],YOCDUR,51.437824
c1(ccc(cc1)C(=O)[O])c1ccncc1,KARMAT,32.759235
c1cc(ccc1C(=O)[O])c1ccncc1,JIZJOT,32.759247
c1cc(ccc1C(=O)[O])C1=NN=N[N]1,FECWOB01,48.949074
c1cc(ccc1C(=O)[O])C(c1ccc(cc1)C(=O)[O])(C(F)(F)F)C(F)(F)F,FAMGAD,32.88794
c1cc(ccc1C(=O)O)C(c1ccc(cc1)C(=O)O)(C(F)(F)F)C(F)(F)F,TAFCIO01,33.349335
c1(cc(cc(c1)C(=O)[O])C#Cc1cc(cc(c1)C(=O)[O])C(=O)[O])C(=O)[O],COTVUE,32.723637
c1cc(ccc1C(=O)[O])C#Cc1ccc(C#Cc2ccc(cc2)C(=O)[O])cc1,WUPTUY01,54.699596
c1cc(ccc1C(=O)[O])C#Cc1cc(cc(C#Cc2ccc(C(=O)[O])cc2)c1)C#Cc1ccc(C(=O)[O])cc1,ZARLIP,130.9434
c1c(ccc(c1)C(=O)[O])/C=C/c1cc(OC)c(/C=C/c2ccc(C(=O)[O])cc2)cc1OC,GULWAM,53.007378
c1(ccc(cc1)C(=O)[O])Cn1c(CN(Cc2nc3c(n2Cc2ccc(C(=O)[O])cc2)cccc3)CCN(Cc2n(Cc3ccc(C(=O)[O])cc3)c3c(n2)cccc3)Cc2nc3c(n2Cc2ccc(C(=O)[O])cc2)cccc3)nc2c1cccc2,RIFLUP,228.4484
c1cc(ccc1C(=O)[O])CN1CCN(CCN(CC1)Cc1ccc(cc1)C(=O)[O])Cc1ccc(cc1)C(=O)[O],jp209895d,75.84988
c1(c(cccc1)C(=O)[O])C(=O)[O],GUJGAU,8.579865
c1(cc(ccc1)C(=O)[O])C(=O)[O],CEJBEA,2.5980504
c1(ccc(cc1)C(=O)[O])C(=O)[O],ATOTIM,56.696434
c1(cccc(c1)C(=O)[O])C(=O)[O],KALFEK,4.3118863
c1(ccccc1C(=O)[O])C(=O)[O],TEWFUY,8.579863
c1c(cc(cc1)C(=O)[O])C(=O)[O],cg801164f,2.5980551
c1c(ccc(c1)C(=O)[O])C(=O)[O],ESEQUO,56.696434
c1cc(cc(c1)C(=O)[O])C(=O)[O],IHAZOH,2.5980906
c1c(cccc1C(=O)[O])C(=O)[O],DEPXUS,2.5980506
c1cc(ccc1C(=O)[O])C(=O)[O],acs.jpcc.6b08594,56.696434
c1ccc(cc1C(=O)[O])C(=O)[O],cg801164f,2.5980604
[C]1=[C]C(=[C][C]=C1C(=O)[O])C(=O)[O],NODTIL,58.72947
